#exchange reactions
R001ex	1 C00001[e] <->
R05234[c]	1 C06612[c] + 1 C00003[c] <-> 1 C16348[c] + 1 C00004[c] + 1 C00080[c]
R05441[c]	1 C02124[c] + 1 C00007[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C02375[c] + 1 C00006[c] + 1 C00001[c]
R05510[c]	1 C07090[c] + 1 C00001[c] <-> 1 C07091[c]
R05511[c]	1 C04706[c] + 1 C00001[c] <-> 1 C06329[c]
R05632[c]	1 C03203[c] + 1 C00004[c] + 1 C00080[c] + 1 C00007[c] <-> 1 C03012[c] + 1 C00011[c] + 1 C00003[c] + 1 C00001[c]
R05699[c]	1 C00755[c] + 1 C00003[c] + 1 C00001[c] <-> 1 C06672[c] + 1 C00004[c] + 1 C00080[c]
R06622[c]	1 C00005[c] + 1 C01147[c] + 1 C00080[c] + 1 C00007[c] <-> 1 C00006[c] + 1 C12314[c] + 1 C00001[c]
R06835[c]	1 C12834[c] + 1 C00001[c] <-> 1 C12835[c]
R06838[c]	1 C12838[c] + 1 C00001[c] <-> 1 C02222[c]
R06915[c]	1 C14088[c] + 1 C00007[c] + 1 C00004[c] + 1 C00080[c] <-> 1 C02923[c] + 1 C00003[c] + 1 C00011[c] + 1 C00001[c]
R06917[c]	1 C14089[c] + 1 C00003[c] <-> 1 C14090[c] + 1 C00004[c] + 1 C00080[c]
R06927[c]	1 C02909[c] + 1 C00003[c] <-> 1 C14099[c] + 1 C00004[c] + 1 C00080[c]
R06936[c]	1 C14109[c] + 1 C00007[c] + 1 C00004[c] + 1 C00080[c] <-> 1 C14110[c] + 1 C00003[c] + 1 C00001[c] + 1 C00011[c]
R06939[c]	1 C14103[c] + 1 C00007[c] + 1 C00004[c] + 1 C00080[c] <-> 1 C06730[c] + 1 C00003[c] + 1 C00001[c] + 1 C00011[c]
R06945[c]	1 C11249[c] + 1 C00007[c] + 1 C00004[c] + 1 C00080[c] <-> 1 C00854[c] + 1 C00003[c] + 1 C00001[c]
R06982[c]	1 C00051[c] + 1 C00067[c] <-> 1 C14180[c]
R06983[c]	1 C14180[c] + 1 C00003[c] -> 1 C01031[c] + 1 C00004[c] + 1 C00080[c]
R07827[c]	1 C05618[c] + 1 C00007[c] <-> 1 C16266[c]
R09221[c]	1 C18303[c] <-> 1 C18304[c] + 1 C01327[c]
R09222[c]	1 C18304[c] + 1 C00001[c] <-> 1 C18305[c]
#Diterpenoid synthesis
R03008[c]	1 C00859[c] + 1 C00026[c] + 1 C00007[c] <-> 1 C03579[c] + 1 C00042[c] + 1 C00011[c]
R03809[c]	1 C02035[c] + 1 C00026[c] + 1 C00007[c] <-> 1 C06096[c] + 1 C00042[c] + 1 C00011[c]
R06337[c]	1 C11863[c] + 1 C00026[c] + 1 C00007[c] <-> 1 C11865[c] + 1 C00042[c] + 1 C00011[c]
R06338[c]	1 C11864[c] + 1 C00026[c] + 1 C00007[c] <-> 1 C11868[c] + 1 C00042[c] + 1 C00011[c]
R06342[c]	1 C11868[c] <-> 1 C11869[c] + 1 C00282[c]
R06343[c]	1 C11865[c] <-> 1 C11854[c] + 1 C00282[c]
R06344[c]	1 C06096[c] <-> 1 C11855[c] + 1 C00282[c]
R06345[c]	1 C03579[c] <-> 1 C11870[c] + 1 C00282[c]
#Biosynthesis of amino acids
R01158[c]	1 C00860[c] + 2 C00003[c] + 1 C00001[c] -> 1 C00135[c] + 2 C00004[c] + 2 C00080[c]
R01248[c]	1 C03912[c] + 1 C00004[c] + 1 C00080[c] -> 1 C00148[c] + 1 C00003[c]
#Sphinoslipid metabolism
R06516[c]	1 C06124[c] <-> 1 C00346[c] + 1 C06123[c]
R01497[c]	1 C00029[c] + 1 C00195[c] <-> 1 C00015[c] + 1 C01190[c]
R06518[c]	1 C12126[c] + 1 C00001[c] -> 1 C00162[c] + 1 C00836[c]
R06520[c]	1 C01120[c] + 1 C00001[c] <-> 1 C00836[c] + 1 C00009[c]
R06521[c]	1 C06124[c] + 1 C00001[c] <-> 1 C00319[c] + 1 C00009[c]
R06522[c]	1 C02960[c] + 1 C00001[c] <-> 1 C00195[c] + 1 C00009[c]
R06525[c]	1 C00836[c] + 2 C00999[c] + 1 C00007[c] + 2 C00080[c] -> 1 C12144[c] + 2 C00996[c] + 1 C00001[c]
R06526[c]	1 C12126[c] + 2 C00999[c] + 1 C00007[c] + 2 C00080[c] -> 1 C12145[c] + 2 C00996[c] + 1 C00001[c]
R06528[c]	1 C12145[c] + 1 C00001[c] -> 1 C00162[c] + 1 C12144[c]
R01281[c]	1 C00154[c] + 1 C00065[c] -> 1 C02934[c] + 1 C00010[c] + 1 C00011[c]
R02464[c]	1 C01120[c] <-> 1 C00346[c] + 1 C00517[c]
#Arachidonic acid metabolism
R01590[c]	1 C00219[c] + 2 C00007[c] -> 1 C05956[c]
R00073[c]	1 C05956[c] + 1 C00003[c] -> 1 C00427[c] + 1 C00004[c] + 1 C00001[c]
R02581[c]	1 C00639[c] + 1 C00006[c] <-> 1 C00584[c] + 1 C00005[c] + 1 C00080[c]
R03057[c]	1 C00909[c] + 1 C00001[c] <-> 1 C02165[c]
#Ubiquinone and other terpenoid-quinone biosynthesis
R04983[c]	1 C05803[c] + 1 C00019[c] <-> 1 C05804[c] + 1 C00021[c]
R01616[c]	1 C00002[c] + 1 C00811[c] + 1 C00010[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C00223[c]
R05000[c]	1 C05847[c] + 1 C00156[c] <-> 1 C05848[c] + 1 C00013[c]
R05614[c]	1 C05815[c] + 1 C00019[c] <-> 1 C17569[c] + 1 C00021[c]
R05615[c]	1 C04146[c] + 1 C00156[c] <-> 1 C05809[c] + 1 C00013[c]
R05616[c]	1 C01230[c] + 1 C00156[c] <-> 1 C13425[c] + 1 C00013[c]
R07236[c]	1 C00019[c] + 1 C02483[c] <-> 1 C00021[c] + 1 C02477[c]
R07273[c]	1 C04145[c] + 1 C00156[c] <-> 1 C00013[c] + 1 C03885[c]
R07504[c]	1 C14151[c] + 1 C00019[c] <-> 1 C14152[c] + 1 C00021[c]
R10491[c]	1 C00019[c] + 1 C14155[c] <-> 1 C00021[c] + 1 C14153[c]
R10492[c]	1 C00019[c] + 1 C14156[c] <-> 1 C00021[c] + 1 C14154[c]
#steroid hormone biosynthesis 
R01842[c]	1 C03024[c] + 1 C00007[c] <-> 1 C05296[c] + 1 C03161[c] + 1 C00001[c]
R02352[c]	1 C00951[c] + 1 C00003[c] -> 1 C00468[c] + 1 C00004[c] + 1 C00080[c]
R02353[c]	1 C00951[c] + 1 C00006[c] -> 1 C00468[c] + 1 C00005[c] + 1 C00080[c]
R04762[c]	1 C05298[c] + 1 C00019[c] <-> 1 C05299[c] + 1 C00021[c]
R04764[c]	1 C05301[c] + 1 C00019[c] <-> 1 C05302[c] + 1 C00021[c]
R07483[c]	1 C11508[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C15776[c] + 1 C00006[c]
R07484[c]	1 C15776[c] <-> 1 C11522[c]
R07486[c]	1 C15782[c] + 2 C00999[c] + 1 C00007[c] + 2 C00080[c] <-> 1 C15783[c] + 2 C00996[c] + 2 C00001[c]
R07491[c]	1 C15777[c] + 2 C00999[c] + 1 C00007[c] + 2 C00080[c] <-> 1 C15780[c] + 2 C00996[c] + 2 C00001[c]
R07505[c]	1 C15777[c] + 2 C00999[c] + 1 C00007[c] + 2 C00080[c] <-> 1 C15778[c] + 2 C00996[c] + 2 C00001[c]
R08945[c]	1 C18075[c] + 1 C00003[c] -> 1 C05284[c] + 1 C00004[c] + 1 C00080[c]
R08980[c]	1 C18075[c] + 1 C00006[c] -> 1 C05284[c] + 1 C00005[c] + 1 C00080[c]
#Steroid biosynthesis
R03353[c]	1 C01189[c] <-> 1 C03845[c]
R04804[c]	1 C05437[c] <-> 1 C05439[c]
R05703[c]	1 C05439[c] + 1 C00005[c] + 1 C00080[c] -> 1 C01189[c] + 1 C00006[c]
R07215[c]	1 C01189[c] + 2 C00999[c] + 1 C00007[c] + 2 C00080[c] <-> 1 C01164[c] + 2 C00996[c] + 2 C00001[c]
R07481[c]	1 C01902[c] + 1 C00019[c] <-> 1 C08830[c] + 1 C00021[c]
#Phenylpropanoid biosynthesis
R01943[c]	1 C00002[c] + 1 C01197[c] + 1 C00010[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C00323[c]
R02194[c]	1 C00002[c] + 1 C01494[c] + 1 C00010[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C00406[c]
R02221[c]	1 C00002[c] + 1 C00482[c] + 1 C00010[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C00411[c]
R02255[c]	1 C00002[c] + 1 C00423[c] + 1 C00010[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C00540[c]
R02593[c]	1 C00590[c] + 1 C00006[c] <-> 1 C02666[c] + 1 C00005[c] + 1 C00080[c]
R02596[c]	1 C00590[c] <-> 1 C15805[c]
R03918[c]	1 C02325[c] + 1 C00006[c] <-> 1 C05610[c] + 1 C00005[c] + 1 C00080[c]
R03919[c]	1 C02325[c] <-> 1 C15806[c]
R04007[c]	1 C02646[c] <-> 1 C15804[c]
R04998[c]	1 C05839[c] + 1 C00001[c] <-> 1 C05838[c] + 1 C00031[c]
R06570[c]	1 C12204[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C12205[c] + 1 C00006[c]
R06571[c]	1 C10945[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C12206[c] + 1 C00006[c]
R06583[c]	1 C05619[c] + 1 C00010[c] + 1 C00002[c] <-> 1 C12203[c] + 1 C00020[c] + 1 C00013[c]
R07437[c]	1 C05608[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C02646[c] + 1 C00006[c]
R07443[c]	1 C12205[c] <-> 1 C15807[c]
#Retinol Metabolism
R02124[c]	1 C00473[c] + 1 C00003[c] <-> 1 C00376[c] + 1 C00004[c] + 1 C00080[c]
#Aromatic degredation
R02231[c]	1 C00414[c] + 1 C00007[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C01880[c] + 1 C00006[c] + 1 C00001[c]
R03307[c]	1 C01278[c] <-> 1 C01163[c]
R03470[c]	1 C01278[c] -> 1 C03586[c] + 1 C00011[c]
#Benzoate Degradation
R03308[c]	1 C04553[c] <-> 1 C01163[c]
#Tropane Biosynthesis
R02317[c]	1 C00450[c] + 1 C00001[c] -> 1 C04076[c]
R04027[c]	1 C02723[c] + 1 C00007[c] + 1 C00080[c] -> 1 C06178[c] + 1 C00027[c] + 1 C00014[c]
R06740[c]	1 C01672[c] + 1 C00001[c] + 1 C00007[c] <-> 1 C12455[c] + 1 C00014[c] + 1 C00027[c]
#Flavonoid Biosynthesis
R02444[c]	1 C00509[c] + 1 C00026[c] + 1 C00007[c] <-> 1 C00974[c] + 1 C00042[c] + 1 C00011[c]
R03123[c]	1 C03648[c] + 1 C00006[c] <-> 1 C00974[c] + 1 C00005[c] + 1 C00080[c]
R03636[c]	1 C05906[c] + 1 C00006[c] <-> 1 C01617[c] + 1 C00005[c] + 1 C00080[c]
R03640[c]	1 C05631[c] + 1 C00026[c] + 1 C00007[c] <-> 1 C01617[c] + 1 C00042[c] + 1 C00011[c]
R05038[c]	1 C05909[c] + 1 C00006[c] <-> 1 C02906[c] + 1 C00005[c] + 1 C00080[c]
R05039[c]	1 C05911[c] + 1 C00026[c] + 1 C00007[c] <-> 1 C02906[c] + 1 C00042[c] + 1 C00011[c]
#Isoflavonoid biosynthesis
R06562[c]	1 C02920[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C00786[c] + 1 C00006[c]
R07747[c]	1 C16226[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C16227[c] + 1 C00006[c]
R07751[c]	1 C16226[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C16228[c] + 1 C00006[c]
#Isoflavone Biosynthesis
R06563[c]	1 C12135[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C10419[c] + 1 C00006[c]
#d-arginine and d-ornithine metabolism
R02457[c]	1 C00515[c] + 1 C00001[c] + 1 C00007[c] <-> 1 C01110[c] + 1 C00014[c] + 1 C00027[c]
R02923[c]	1 C00792[c] + 1 C00001[c] + 1 C00007[c] <-> 1 C03771[c] + 1 C00014[c] + 1 C00027[c]
#cyanoamino acid metabolism
R02558[c]	1 C00844[c] + 1 C00001[c] <-> 1 C00561[c] + 1 C00031[c]
R02985[c]	1 C00844[c] + 1 C00031[c] <-> 1 C08325[c] + 1 C00001[c]
R10035[c]	1 C05143[c] + 1 C00001[c] <-> 1 C03742[c] + 1 C00221[c]
R10039[c]	1 C08334[c] + 1 C00001[c] <-> 1 C18796[c] + 1 C00221[c]
R10040[c]	1 C01594[c] + 1 C00001[c] <-> 1 C02659[c] + 1 C00221[c]
#phosphonate and phosphinate metabolism
R02590[c]	1 C00063[c] + 1 C06459[c] <-> 1 C00013[c] + 1 C05674[c]
#Aminoacyl-tRNA biosynthesis
R03659[c]	1 C00002[c] + 1 C00073[c] + 1 C01647[c] -> 1 C00020[c] + 1 C00013[c] + 1 C02430[c]
R02918[c]	1 C00002[c] + 1 C00082[c] + 1 C00787[c] -> 1 C00020[c] + 1 C00013[c] + 1 C02839[c]
R03038[c]	1 C00002[c] + 1 C00041[c] + 1 C01635[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C00886[c]
R03646[c]	1 C00002[c] + 1 C00062[c] + 1 C01636[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C02163[c]
R03654[c]	1 C00002[c] + 1 C00037[c] + 1 C01642[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C02412[c]
R03655[c]	1 C00002[c] + 1 C00135[c] + 1 C01643[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C02988[c]
R03656[c]	1 C00002[c] + 1 C00407[c] + 1 C01644[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C03127[c]
R03658[c]	1 C00002[c] + 1 C00047[c] + 1 C01646[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C01931[c]
R03661[c]	1 C00002[c] + 1 C00148[c] + 1 C01649[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C02702[c]
R03663[c]	1 C00002[c] + 1 C00188[c] + 1 C01651[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C02992[c]
R03664[c]	1 C00002[c] + 1 C00078[c] + 1 C01652[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C03512[c]
R03665[c]	1 C00002[c] + 1 C00183[c] + 1 C01653[c] <-> 1 C00020[c] + 1 C00013[c] + 1 C02554[c]
#Butanoate Metabolism
R02946[c]	1 C03044[c] + 1 C00003[c] <-> 1 C00810[c] + 1 C00004[c] + 1 C00080[c]
R02948[c]	1 C06010[c] -> 1 C00810[c] + 1 C00011[c]
#Aminobenzoate degredation
R03024[c]	1 C03360[c] + 1 C00001[c] -> 1 C00870[c] + 1 C00009[c]
#Biosynthesis of antibiotics
R03037[c]	1 C00885[c] + 1 C00001[c] <-> 1 C04171[c] + 1 C00022[c]
R02777[c]	1 C03319[c] + 1 C00006[c] <-> 1 C00688[c] + 1 C00005[c] + 1 C00080[c]
R03199[c]	1 C01054[c] <-> 1 C01724[c]
R04427[c]	1 C00019[c] + 1 C05437[c] <-> 1 C00021[c] + 1 C04525[c]
R05639[c]	1 C05108[c] + 1 C00006[c] <-> 1 C11455[c] + 1 C00005[c] + 1 C00080[c]
R06590[c]	1 C12214[c] + 1 C00117[c] <-> 1 C12215[c] + 1 C05382[c]
R07324[c]	1 C00092[c] <-> 1 C04006[c]
R08549[c]	1 C00026[c] + 1 C00010[c] + 1 C00003[c] <-> 1 C00091[c] + 1 C00011[c] + 1 C00004[c] + 1 C00080[c]
#Penicillin Biosynthesis
R03743[c]	1 C01866[c] + 1 C00001[c] <-> 1 C03806[c]
R06361[c]	1 C05557[c] + 1 C00024[c] + 1 C00001[c] <-> 1 C00395[c] + 1 C00010[c] + 1 C00956[c]
R06363[c]	1 C00395[c] + 1 C00001[c] <-> 1 C06567[c]
R07400[c]	1 C00916[c] + 1 C00001[c] + 1 C00007[c] <-> 1 C04712[c] + 1 C00014[c] + 1 C00027[c]
#Beta Alanine Metabolism
R03139[c]	1 C00986[c] + 1 C00007[c] + 1 C00001[c] <-> 1 C05665[c] + 1 C00014[c] + 1 C00027[c]
R00908[c]	1 C00099[c] + 1 C00026[c] <-> 1 C00222[c] + 1 C00025[c]
#Porphyrin Metabolism
R03197[c]	1 C01051[c] <-> 1 C03263[c] + 4 C00011[c]
#Inositol Phosphate Metabolism
R03361[c]	1 C00002[c] + 1 C01194[c] <-> 1 C00008[c] + 1 C01277[c]
R03430[c]	1 C01272[c] + 1 C00001[c] <-> 1 C01243[c] + 1 C00009[c]
R05802[c]	1 C00002[c] + 1 C04549[c] <-> 1 C00008[c] + 1 C11556[c]
R09827[c]	1 C05981[c] + 1 C00001[c] <-> 1 C11554[c] + 1 C00009[c]
#Ether Lipid Metabolism
R04162[c]	1 C05977[c] + 1 C00001[c] <-> 1 C03201[c] + 1 C00009[c]
#Vitamin B6 metabolism
R05085[c]	1 C06055[c] + 1 C00026[c] <-> 1 C06054[c] + 1 C00025[c]
#Linonene Degradation
R06411[c]	1 C11946[c] + 1 C00001[c] <-> 1 C11947[c]
R06412[c]	1 C11945[c] + 1 C00001[c] <-> 1 C11947[c]
#Xenobiotic Metabolism
R07013[c]	1 C14786[c] + 1 C00001[c] <-> 1 C06205[c]
R07014[c]	1 C14787[c] + 1 C00001[c] <-> 1 C06205[c]
R07027[c]	1 C14800[c] + 1 C00001[c] <-> 1 C14801[c]
R07071[c]	1 C14839[c] + 1 C00001[c] <-> 1 C14844[c]
R07072[c]	1 C14840[c] + 1 C00001[c] <-> 1 C14842[c]
R07082[c]	1 C14850[c] + 1 C00001[c] <-> 1 C14852[c]
R07105[c]	1 C06899[c] + 1 C00004[c] + 1 C00080[c] <-> 1 C07490[c] + 1 C00003[c] + 1 C00001[c]
R09410[c]	1 C19586[c] + 1 C00001[c] <-> 1 C19588[c]
R09417[c]	1 C19489[c] + 1 C00001[c] <-> 1 C19490[c]
R09420[c]	1 C16453[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C19574[c] + 1 C00006[c]
R09443[c]	1 C19604[c] + 1 C00001[c] <-> 1 C19607[c]
#Lipoic Acid Metabolism
R07767[c]	1 C16236[c] + 2 C17023[c] + 2 C00019[c] -> 1 C16237[c] + 2 C00073[c] + 2 C05198[c]
R07768[c]	1 C05752[c] + 2 C17023[c] + 2 C00019[c] -> 1 C16239[c] + 2 C00073[c] + 2 C05198[c]
R07769[c]	1 C16239[c] + 1 C16240[c] -> 1 C16237[c] + 1 C00229[c]
R07770[c]	1 C00002[c] + 1 C16241[c] -> 1 C00013[c] + 1 C16238[c]
R07771[c]	1 C16238[c] + 1 C16240[c] -> 1 C16237[c] + 1 C00020[c]
R11143[c]	1 C00002[c] + 1 C16241[c] + 1 C16240[c] -> 1 C16237[c] + 1 C00020[c] + 1 C00013[c]
#Linolenic Acid Metabolism
R07889[c]	1 C16329[c] <-> 1 C16328[c] + 1 C00001[c]
R07893[c]	1 C16333[c] <-> 1 C16332[c] + 1 C00001[c]
R10783[c]	1 C16310[c] + 1 C00004[c] + 1 C00080[c] <-> 1 C08492[c] + 1 C00003[c]
#Glutathione Metabolism
R00274[im]	2 C00051[im] + 1 C00027[im] <-> 1 C00127[im] + 2 C00001[im] 
#Glutathione Metabolism
R08363[c]	1 C04232[c] + 1 C16664[c] + 1 C00001[c] <-> 1 C03723[c] + 1 C16663[c]
R08364[c]	1 C04232[c] + 1 C03170[c] + 1 C00001[c] <-> 1 C03723[c] + 1 C02090[c]
#Cutin Wax Biosynthesis
R09474[c]	1 C02843[c] <-> 1 C01629[c]
#2 Oxocarboxylic Acid
R10052[c]	1 C04411[c] + 1 C00003[c] -> 1 C00233[c] + 1 C00011[c] + 1 C00004[c] + 1 C00080[c]
#Biotin Metabolism
R10116[c]	1 C20372[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C20373[c] + 1 C00006[c]
R10120[c]	1 C20376[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C20377[c] + 1 C00006[c]
#C5-branched dibasic acid metabolism
R02404[c]	1 C00002[c] + 1 C00490[c] + 1 C00010[c] -> 1 C00008[c] + 1 C00009[c] + 1 C00531[c]
#Geraniol degradation
R08091[c]	1 C16466[c] + 1 C00010[c] <-> 1 C16470[c] + 1 C00024[c]
#Miscellaneous cytosolic reactions
R00224[c]	1 C00080[c] + 1 C00022[c] -> 1 C00084[c] + 1 C00011[c]
R10948[c]	1 C00002[c] + 1 C00288[c] -> 1 C00008[c] + 1 C20969[c]
R10949[c]	1 C00014[c] + 1 C20969[c] -> 1 C01563[c] + 1 C00009[c]
R10056[c]	1 C05545[c] + 2 C00026[c] + 2 C00007[c] -> 1 C02188[c] + 2 C00042[c] + 2 C00067[c] + 2 C00011[c]
R04358[c]	1 C00002[c] + 1 C03959[c] -> 1 C00008[c] + 1 C04395[c]
R09644[c]	1 C19776[c] + 1 C00001[c] <-> 1 C00416[c] + 1 C00009[c]
R00138[c]	1 C00536[c] + 1 C00001[c] <-> 1 C00013[c] + 1 C00009[c]
R00004[c]	1 C00013[c] + 1 C00001[c] -> 2 C00009[c]
R00017[c]	1 C00027[c] + 2 C00126[c] <-> 2 C00125[c] + 2 C00001[c]
R00129[c]	1 C00002[c] + 1 C04856[c] -> 1 C00008[c] + 1 C00009[c] + 1 C00004[c]
R00188[c]	1 C00054[c] + 1 C00001[c] -> 1 C00020[c] + 1 C00009[c]
R00275[c]	2 C00704[c] + 2 C00080[c] <-> 1 C00027[c] + 1 C00007[c]
R00572[c]	1 C00112[c] + 1 C00074[c] -> 1 C00063[c] + 1 C00022[c]
R00659[c]	1 C00015[c] + 1 C00074[c] -> 1 C00075[c] + 1 C00022[c]
R00767[c]	1 C00063[c] + 1 C00085[c] -> 1 C00112[c] + 1 C00354[c]
R00769[c]	1 C00075[c] + 1 C00085[c] -> 1 C00015[c] + 1 C00354[c]
R00835[c]	1 C00092[c] + 1 C00006[c] -> 1 C01236[c] + 1 C00005[c] + 1 C00080[c]
R00836[c]	1 C00029[c] + 1 C00092[c] -> 1 C00015[c] + 1 C00689[c]
R01289[c]	1 C00065[c] + 1 C00155[c] -> 1 C00542[c] + 1 C00001[c]
R01493[c]	1 C00195[c] + 1 C00001[c] <-> 1 C00080[c] + 1 C00060[c] + 1 C00319[c]
R01532[c]	1 C00201[c] + 1 C00001[c] -> 1 C00215[c] + 1 C00013[c]
R01654[c]	1 C00002[c] + 1 C00234[c] + 1 C00025[c] <-> 1 C00008[c] + 1 C00009[c] + 1 C05928[c]
R01843[c]	1 C00002[c] + 1 C05382[c] <-> 1 C00008[c] + 1 C00447[c]
R01853[c]	1 C00375[c] + 1 C00001[c] + 1 C00007[c] <-> 1 C00071[c] + 1 C00014[c] + 1 C00027[c]
R01963[c]	1 C01075[c] + 1 C00001[c] <-> 1 C00329[c] + 1 C00059[c]
R02047[c]	1 C01188[c] + 1 C00003[c] <-> 1 C00349[c] + 1 C00004[c] + 1 C00080[c]
R02113[c]	1 C00029[c] + 1 C00370[c] <-> 1 C00015[c] + 1 C03641[c]
R02396[c]	1 C00024[c] + 1 C00487[c] <-> 1 C00010[c] + 1 C02571[c]
R02418[c]	1 C04090[c] + 1 C00001[c] <-> 1 C00496[c] + 1 C00145[c]
R02508[c]	1 C00542[c] + 1 C00042[c] <-> 1 C01118[c] + 1 C00097[c]
R02584[c]	1 C00002[c] + 1 C00585[c] -> 1 C00008[c] + 1 C01167[c]
R02585[c]	1 C01167[c] + 1 C00001[c] -> 1 C00585[c] + 1 C00009[c]
R02715[c]	1 C00652[c] + 1 C00007[c] <-> 1 C06316[c] + 1 C00027[c]
R02767[c]	1 C01271[c] + 1 C00006[c] <-> 1 C00685[c] + 1 C00005[c] + 1 C00080[c]
R02853[c]	1 C02532[c] + 1 C00001[c] <-> 1 C00740[c] + 1 C00009[c]
R02878[c]	1 C00756[c] + 1 C00003[c] <-> 1 C01545[c] + 1 C00004[c] + 1 C00080[c]
R02884[c]	1 C00002[c] + 1 C00759[c] <-> 1 C00008[c] + 1 C01022[c]
R02984[c]	1 C00842[c] <-> 1 C02097[c]
R03054[c]	1 C00903[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C02394[c] + 1 C00006[c]
R03120[c]	1 C01021[c] + 1 C00026[c] <-> 1 C00972[c] + 1 C00025[c]
R03259[c]	1 C04212[c] + 1 C00001[c] <-> 1 C01117[c]
R03352[c]	1 C04047[c] + 1 C00001[c] <-> 1 C01188[c] + 1 C00010[c]
R03357[c]	1 C04036[c] + 1 C00006[c] <-> 1 C01192[c] + 1 C00005[c] + 1 C00080[c]
R03410[c]	1 C00019[c] + 1 C01229[c] <-> 1 C00021[c] + 1 C04215[c]
R03446[c]	1 C01253[c] + 1 C00001[c] <-> 1 C03315[c] + 1 C00301[c]
R03449[c]	1 C00002[c] + 1 C01256[c] <-> 1 C00008[c] + 1 C01293[c]
R03492[c]	1 C06135[c] + 1 C00001[c] <-> 1 C01290[c] + 1 C01132[c]
R03532[c]	1 C00003[c] + 1 C00027[c] <-> 1 C00004[c] + 2 C00001[c]
R03546[c]	1 C01417[c] + 1 C00080[c] + 1 C00288[c] -> 1 C00011[c] + 1 C01563[c]
R03552[c]	1 C00024[c] + 1 C02415[c] <-> 1 C00010[c] + 1 C01997[c]
R03600[c]	1 C05684[c] + 6 C00138[c] + 8 C00080[c] -> 1 C01528[c] + 6 C00139[c] + 3 C00001[c]
R03632[c]	1 C00002[c] + 1 C01609[c] <-> 1 C00008[c] + 1 C02729[c]
R03681[c]	1 C00029[c] + 1 C01702[c] <-> 1 C00015[c] + 1 C02687[c]
R03760[c]	1 C00024[c] + 1 C15534[c] <-> 1 C00010[c] + 1 C15535[c]
R03789[c]	1 C01977[c] + 1 C01449[c] <-> 1 C01978[c] + 1 C00242[c]
R03828[c]	1 C00044[c] + 1 C02100[c] <-> 1 C00013[c] + 1 C02031[c]
R03840[c]	1 C00002[c] + 1 C02374[c] <-> 1 C00008[c] + 1 C02128[c]
R03854[c]	1 C02623[c] + 1 C00022[c] <-> 1 C02146[c] + 1 C00011[c] + 1 C00041[c]
R03938[c]	1 C00019[c] + 1 C02415[c] <-> 1 C00021[c] + 1 C03702[c]
R03992[c]	1 C02593[c] + 1 C02038[c] <-> 1 C00010[c] + 1 C03881[c]
R04023[c]	1 C00002[c] + 1 C02707[c] <-> 1 C00008[c] + 1 C03874[c]
R04049[c]	1 C02782[c] + 1 C00003[c] <-> 1 C03926[c] + 1 C00004[c] + 1 C00080[c]
R04058[c]	1 C02986[c] <-> 1 C02805[c] + 1 C00014[c]
R04072[c]	1 C03862[c] + 1 C02189[c] <-> 1 C00110[c] + 1 C02863[c]
R04090[c]	1 C03899[c] + 1 C00001[c] <-> 1 C00051[c] + 1 C02929[c]
R04100[c]	1 C02944[c] <-> 1 C03221[c]
R04176[c]	1 C00003[c] <-> 1 C00153[c] + 1 C03245[c] + 1 C00080[c]
R04184[c]	1 C04737[c] + 1 C01132[c] <-> 1 C03272[c] + 1 C00001[c]
R04190[c]	1 C00019[c] + 1 C03306[c] <-> 1 C00021[c] + 1 C04311[c]
R04216[c]	1 C04213[c] + 1 C03021[c] <-> 1 C00621[c] + 1 C11572[c]
R04273[c]	1 C03798[c] <-> 1 C03633[c]
R04294[c]	1 C04232[c] + 1 C00343[c] + 1 C00001[c] <-> 1 C03723[c] + 1 C00342[c]
R04314[c]	1 C04250[c] + 1 C02743[c] <-> 1 C03800[c] + 1 C11475[c]
R04316[c]	1 C00024[c] + 1 C03803[c] <-> 1 C00010[c] + 1 C04341[c]
