#exchange reactions
R001ex	1 C00001[e] <->
R03416[c]	1 C04438[c] + 1 C00001[c] <-> 1 C00162[c] + 1 C01233[c]
R03417[c]	1 C05973[c] + 1 C00001[c] <-> 1 C00162[c] + 1 C01233[c]
R03424[c]	1 C00019[c] + 1 C01241[c] <-> 1 C00021[c] + 1 C04308[c]
#Lysine Biosynthesis
R00271[c]	1 C00026[c] + 1 C00024[c] + 1 C00001[c] -> 1 C00010[c] + 1 C00080[c] + 1 C01251[c]
R03444[c]	1 C01251[c] <-> 1 C04002[c] + 1 C00001[c]
R04371[c]	1 C05662[c] <-> 1 C04002[c] + 1 C00001[c]
R01934[c]	1 C05662[c] + 1 C00003[c] <-> 1 C00322[c] + 1 C00011[c] + 1 C00004[c] + 1 C00080[c]
R03098[c]	1 C00956[c] + 1 C00002[c] <-> 1 C05560[c] + 1 C00013[c]
R04863[c]	1 C05560[c] + 1 C11482[c] -> 1 C05535[c] + 1 C00020[c]
R04390[c]	1 C05535[c] + 1 C00005[c] + 1 C00080[c] -> 1 C04076[c] + 1 C11482[c] + 1 C00006[c]
#Valine, Leucine, and Isoleucine biosynthesis
R00226[c]	2 C00022[c] -> 1 C06010[c] + 1 C00011[c] 
R00994[c]	1 C06032[c] + 1 C00003[c] -> 1 C00109[c] + 1 C00011[c] + 1 C00004[c] + 1 C00080[c]
R01088[c]	1 C00233[c] + 1 C00014[c] + 1 C00004[c] + 1 C00080[c] -> 1 C00123[c] + 1 C00001[c] + 1 C00003[c]
R01090[c]	1 C00233[c] + 1 C00025[c] -> 1 C00123[c] + 1 C00026[c] 
R01213[c]	1 C00024[c] + 1 C00141[c] + 1 C00001[c] -> 1 C02504[c] + 1 C00010[c]
R01214[c]	1 C00183[c] + 1 C00026[c] <-> 1 C00141[c] + 1 C00025[c]
R01652[c]	1 C00233[c] + 1 C00011[c] -> 1 C04236[c]
