#exchange reactions
R001ex	1 h2o[e] <->
R02196[c]	1 ile__L[c] + 1 nad[c] + 1 h2o[c] -> 1 3mop[c] + 1 nh4[c] + 1 nadh[c] + 1 h[c]
ILETA1	1 3mop[c] + 1 glu__L[c] -> 1 ile__L[c] + 1 akg[c]
R03896[c]	1 C02612[c] -> 1 citac[c] + 1 h2o[c]
CITCIb1	1 citac[c] + 1 h2o[c] -> 1 r3mmal[c]
IPPMIb1	1 3c3hmp[c] <-> 1 2ippm[c] + 1 h2o[c]
IPPMIa1	1 3c2hmp[c] <-> 1 2ippm[c] + 1 h2o[c]
IPMD1	1 3c2hmp[c] + 1 nad[c] -> 1 3c4mop[c] + 1 nadh[c] + 1 h[c]
R04440[c]	1 23dhmb[c] + 1 nadp[c] <-> 1 3hmoa[c] + 1 nadph[c] + 1 h[c]
R05071[c]	1 alac__S[c] <-> 1 3hmoa[c]
R04441[c]	1 23dhmb[c] -> 1 3mob[c] + 1 h2o[c]
R05068[c]	1 23dhmp[c] + 1 nadp[c] <-> 1 3hmop[c] + 1 nadph[c] + 1 h[c]
R05069[c]	1 2ahbut[c] <-> 1 3hmop[c]
R05070[c]	1 23dhmp[c] -> 1 3mop[c] + 1 h2o[c]
R07399[c]	1 accoa[c] + 1 pyr[c] + 1 h2o[c] -> 1 C02612[c] + 1 coa[c]
R08648[c]	1 pyr[c] + 1 2obut[c] -> 1 2ahbut[c] + 1 co2[c]
#Valine, Leucine, and Isoleucine degredation
AACOAT1	1 atp[c] + 1 acac[c] + 1 coa[c] -> 1 amp[c] + 1 ppi[c] + 1 aacoa[c]
R01360[c]	1 C00356[c] -> 1 accoa[c] + 1 acac[c]
R02085[c]	1 C00356[c] <-> 1 3mgcoa[c] + 1 h2o[c]
ECH_3hivcoa1	1 3hivcoa[c] <-> 1 3mb2coa[c] + 1 h2o[c]
ECOAH9m1	1 3hmbcoa[c] <-> 1 2mb2coa[c] + 1 h2o[c]
ECOAH12m1	1 2mp2coa[c] + 1 h2o[c] <-> 1 3hibutcoa[c]
R05064[c]	1 3hibutcoa[c] + 1 h2o[c] <-> 1 coa[c] + 1 3hib[c]
R05066[c]	1 3hib[c] + 1 nad[c] <-> 1 mmtsa[c] + 1 nadh[c] + 1 h[c]
OCOAT11	1 succoa[c] + 1 acac[c] -> 1 succ[c] + 1 aacoa[c]
MACCOAT1	1 coa[c] + 1 2maacoa[c] -> 1 ppcoa[c] + 1 accoa[c]
#Cysteine methionine metabolism
CYSLYSL1	1 cysi__L[c] + 1 h2o[c] <-> 1 pyr[c] + 1 nh4[c] + 1 thcys[c]
R10991[c]	1 C02356[c] + 1 akg[c] -> 1 2obut[c] + 1 glu__L[c]
R10992[c]	1 ala__L[c] + 1 2obut[c] <-> 1 pyr[c] + 1 C02356[c]
CYSDS1	1 cys__L[c] + 1 h2o[c] -> 1 h2s[c] + 1 pyr[c] + 1 nh4[c]
METAT1	1 atp[c] + 1 met__L[c] + 1 h2o[c] -> 1 pi[c] + 1 ppi[c] + 1 amet[c]
CYSO1	1 cys__L[c] + 1 o2[c] -> 1 3sala[c]
R01286[c]	1 cyst__L[c] + 1 h2o[c] -> 1 hcys__L[c] + 1 nh4[c] + 1 pyr[c]
MTAP1	1 5mta[c] + 1 pi[c] -> 1 ade[c] + 1 5mdr1p[c]
HSERTA1	1 accoa[c] + 1 hom__L[c] -> 1 coa[c] + 1 achms[c]
R02619[c]	1 3sala[c] + 1 akg[c] <-> 1 C05527[c] + 1 glu__L[c]
R04861[c]	1 C05527[c] + 1 h2o[c] <-> 1 so3[c] + 1 pyr[c]
R03217[c]	1 achms[c] + 1 cys__L[c] -> 1 cyst__L[c] + 1 ac[c]
R03260[c]	1 suchms[c] + 1 cys__L[c] -> 1 cyst__L[c] + 1 succ[c]
MHPGLUT1	1 mhpglu[c] + 1 hcys__L[c] -> 1 hpglu[c] + 1 met__L[c]
MTRI1	1 5mdr1p[c] -> 1 5mdru1p[c]
ARD_11	1 dhmtp[c] + 1 o2[c] -> 1 2kmb[c] + 1 for[c]
ENOPH1	1 dkmpp[c] + 1 h2o[c] -> 1 dhmtp[c] + 1 pi[c]
MDRPD1	1 5mdru1p[c] -> 1 dkmpp[c] + 1 h2o[c]
ARAT1	1 2kmb[c] + 1 glu__L[c] -> 1 met__L[c] + 1 akg[c]
CYSS_21	1 acser[c] + 1 h2s[c] -> 1 cys__L[c] + 1 ac[c]
SERAT1	1 ser__L[c] + 1 accoa[c] <-> 1 acser[c] + 1 coa[c]
#Selenocompound metabolism
R03599[c]	1 selcys[c] + 1 nad[c] <-> 1 seln[c] + 1 ala__L[c] + 1 nadh[c]
R04929[c]	1 atp[c] + 1 sel[c] <-> 1 ppi[c] + 1 C05686[c]
SELCYSTL1	1 selcyst[c] + 1 h2o[c] -> 1 selhcys[c] + 1 nh4[c] + 1 pyr[c]
R04944[c]	1 C05702[c] + 1 selcys[c] <-> 1 selcyst[c] + 1 pi[c]
R04946[c]	1 suchms[c] + 1 selcys[c] -> 1 selcyst[c] + 1 succ[c]
R09365[c]	1 selhcys[c] + 1 mhpglu[c] -> 1 selmeth[c] + 1 hpglu[c]
R04931[c]	1 selcys[c] + 1 amet[c] <-> 1 C05689[c] + 1 ahcys[c]
R04929[im]	1 atp[im] + 1 sel[im] <-> 1 ppi[im] + 1 C05686[im]
R04770[im]	1 selmeth[im] + 1 h2o[im] <-> 1 C05703[im] + 1 nh4[im] + 1 2obut[im]
R09366[im]	1 C05689[im] + 1 h2o[im] <-> 1 pyr[im] + 1 nh4[im] + 1 C05703[im]
R03596[im]	1 seln[im] + 3 nadp[im] + 3 h2o[im] <-> 1 slnt[im] + 3 nadph[im] + 5 h[im]
R09371[im]	1 amet[im] + 1 seln[im] <-> 1 ahcys[im] + 1 C05703[im]
#Sulfur metabolism
BPNT21	1 paps[c] + 1 h2o[c] -> 1 aps[c] + 1 pi[c]
SULR_syn1	1 h2s[c] + 6 fdxox[c] + 3 h2o[c] <-> 1 so3[c] + 6 fdxrd[c] + 6 h[c]
SLFAT1	1 adp[c] + 1 h[c] + 1 so4[c] -> 1 pi[c] + 1 aps[c]
SULR1	1 so3[c] + 3 nadph[c] + 3 h[c] -> 1 h2s[c] + 3 nadp[c] + 3 h2o[c]
CYANST1	1 tsul[c] + 1 cyan[c] <-> 1 so3[c] + 1 tcynt[c]
PAPSR1	1 trdrd[c] + 1 paps[c] -> 1 trdox[c] + 1 so3[c] + 1 pap[c]
