#exchange reactions
R001ex	1 h2o[e] <->
PYDXO_11	1 pydam[c] + 1 h2o[c] + 1 o2[c] <-> 1 pydx[c] + 1 nh4[c] + 1 h2o2[c]
PYDXNO1	1 pydxn[c] + 1 o2[c] -> 1 pydx[c] + 1 h2o2[c]
R03893[c]	1 C04431[c] + 1 h2o[c] <-> 1 C02222[c]
R03997[c]	1 C02625[c] + 1 o2[c] + 1 nadph[c] + 1 h[c] <-> 1 C02933[c] + 1 nadp[c] + 1 h2o[c]
R05233[c]	1 C06611[c] + 1 nad[c] <-> 1 C06613[c] + 1 nadh[c] + 1 h[c]
R05234[c]	1 C06612[c] + 1 nad[c] <-> 1 C16348[c] + 1 nadh[c] + 1 h[c]
R05441[c]	1 C02124[c] + 1 o2[c] + 1 nadph[c] + 1 h[c] <-> 1 C02375[c] + 1 nadp[c] + 1 h2o[c]
R05510[c]	1 C07090[c] + 1 h2o[c] <-> 1 C07091[c]
R05511[c]	1 C04706[c] + 1 h2o[c] <-> 1 C06329[c]
R05632[c]	1 C03203[c] + 1 nadh[c] + 1 h[c] + 1 o2[c] <-> 1 npthld[c] + 1 co2[c] + 1 nad[c] + 1 h2o[c]
VNDH1	1 vanln[c] + 1 nad[c] + 1 h2o[c] <-> 1 vanlt[c] + 1 nadh[c] + 1 h[c]
R06622[c]	1 nadph[c] + 1 C01147[c] + 1 h[c] + 1 o2[c] <-> 1 nadp[c] + 1 C12314[c] + 1 h2o[c]
R06835[c]	1 C12834[c] + 1 h2o[c] <-> 1 C12835[c]
R06838[c]	1 C12838[c] + 1 h2o[c] <-> 1 C02222[c]
R06915[c]	1 C14088[c] + 1 o2[c] + 1 nadh[c] + 1 h[c] <-> 1 3mcat[c] + 1 nad[c] + 1 co2[c] + 1 h2o[c]
R06917[c]	1 C14089[c] + 1 nad[c] <-> 1 C14090[c] + 1 nadh[c] + 1 h[c]
R06927[c]	1 C02909[c] + 1 nad[c] <-> 1 C14099[c] + 1 nadh[c] + 1 h[c]
R06936[c]	1 C14109[c] + 1 o2[c] + 1 nadh[c] + 1 h[c] <-> 1 C14110[c] + 1 nad[c] + 1 h2o[c] + 1 co2[c]
R06939[c]	1 C14103[c] + 1 o2[c] + 1 nadh[c] + 1 h[c] <-> 1 4mcat[c] + 1 nad[c] + 1 h2o[c] + 1 co2[c]
R06945[c]	1 C11249[c] + 1 o2[c] + 1 nadh[c] + 1 h[c] <-> 1 C00854[c] + 1 nad[c] + 1 h2o[c]
FALGTHLs1	1 gthrd[c] + 1 fald[c] <-> 1 hmgth[c]
FALDH21	1 hmgth[c] + 1 nad[c] -> 1 Sfglutth[c] + 1 nadh[c] + 1 h[c]
R07827[c]	1 C05618[c] + 1 o2[c] <-> 1 C16266[c]
R09221[c]	1 C18303[c] <-> 1 C18304[c] + 1 C01327[c]
R09222[c]	1 C18304[c] + 1 h2o[c] <-> 1 C18305[c]
#Diterpenoid synthesis
R03008[c]	1 ga1_cho[c] + 1 akg[c] + 1 o2[c] <-> 1 C03579[c] + 1 succ[c] + 1 co2[c]
R03809[c]	1 C02035[c] + 1 akg[c] + 1 o2[c] <-> 1 C06096[c] + 1 succ[c] + 1 co2[c]
R06337[c]	1 C11863[c] + 1 akg[c] + 1 o2[c] <-> 1 C11865[c] + 1 succ[c] + 1 co2[c]
R06338[c]	1 C11864[c] + 1 akg[c] + 1 o2[c] <-> 1 C11868[c] + 1 succ[c] + 1 co2[c]
R06342[c]	1 C11868[c] <-> 1 C11869[c] + 1 h2[c]
R06343[c]	1 C11865[c] <-> 1 C11854[c] + 1 h2[c]
R06344[c]	1 C06096[c] <-> 1 C11855[c] + 1 h2[c]
R06345[c]	1 C03579[c] <-> 1 C11870[c] + 1 h2[c]
#Biosynthesis of amino acids
HISTD1	1 histd[c] + 2 nad[c] + 1 h2o[c] -> 1 his__L[c] + 2 nadh[c] + 2 h[c]
PRO1xm1	1 1pyr5c[c] + 1 nadh[c] + 1 h[c] -> 1 pro__L[c] + 1 nad[c]
#Sphinoslipid metabolism
R06516[c]	1 C06124[c] <-> 1 ethamp[c] + 1 C06123[c]
UGCG_cho1	1 udpg[c] + 1 crm_cho[c] <-> 1 udp[c] + 1 gluside_cho[c]
R06518[c]	1 dhcrm_cho[c] + 1 h2o[c] -> 1 C00162[c] + 1 sphgn[c]
SBPP11	1 sph1p[c] + 1 h2o[c] <-> 1 sphgn[c] + 1 pi[c]
R06521[c]	1 C06124[c] + 1 h2o[c] <-> 1 C00319[c] + 1 pi[c]
R06522[c]	1 crmp_cho[c] + 1 h2o[c] <-> 1 crm_cho[c] + 1 pi[c]
R06525[c]	1 sphgn[c] + 2 focytb5[c] + 1 o2[c] + 2 h[c] -> 1 psphings[c] + 2 ficytb5[c] + 1 h2o[c]
R06526[c]	1 dhcrm_cho[c] + 2 focytb5[c] + 1 o2[c] + 2 h[c] -> 1 C12145[c] + 2 ficytb5[c] + 1 h2o[c]
R06528[c]	1 C12145[c] + 1 h2o[c] -> 1 C00162[c] + 1 psphings[c]
SERPT1	1 pmtcoa[c] + 1 ser__L[c] -> 1 3dsphgn[c] + 1 coa[c] + 1 co2[c]
SPHPL1	1 sph1p[c] <-> 1 ethamp[c] + 1 hxdcal[c]
#Arachidonic acid metabolism
R01590[c]	1 C00219[c] + 2 o2[c] -> 1 HC02217[c]
R00073[c]	1 HC02217[c] + 1 nad[c] -> 1 C00427[c] + 1 nadh[c] + 1 h2o[c]
R02581[c]	1 C00639[c] + 1 nadp[c] <-> 1 C00584[c] + 1 nadph[c] + 1 h[c]
R03057[c]	1 leuktrA4[c] + 1 h2o[c] <-> 1 C02165[c]
#Ubiquinone and other terpenoid-quinone biosynthesis
R04983[c]	1 C05803[c] + 1 amet[c] <-> 1 C05804[c] + 1 ahcys[c]
COUCOAFm1	1 atp[c] + 1 T4hcinnm[c] + 1 coa[c] <-> 1 amp[c] + 1 ppi[c] + 1 coucoa[c]
R05000[c]	1 C05847[c] + 1 4hbz[c] <-> 1 C05848[c] + 1 ppi[c]
R05614[c]	1 C05815[c] + 1 amet[c] <-> 1 q8[c] + 1 ahcys[c]
HBZOPT1	1 octdp[c] + 1 4hbz[c] <-> 1 3ophb[c] + 1 ppi[c]
HBZOPT6m1	1 hexdp[c] + 1 4hbz[c] <-> 1 3ophb_5[c] + 1 ppi[c]
TOCOPHOM11	1 amet[c] + 1 gtocophe[c] <-> 1 ahcys[c] + 1 avite1[c]
R07273[c]	1 C04145[c] + 1 4hbz[c] <-> 1 ppi[c] + 1 C03885[c]
TOCOPHOM21	1 dtocophe[c] + 1 amet[c] <-> 1 bvite[c] + 1 ahcys[c]
R10491[c]	1 amet[c] + 1 C14155[c] <-> 1 ahcys[c] + 1 C14153[c]
R10492[c]	1 amet[c] + 1 C14156[c] <-> 1 ahcys[c] + 1 C14154[c]
#steroid hormone biosynthesis 
R01842[c]	1 C03024[c] + 1 o2[c] <-> 1 C05296[c] + 1 C03161[c] + 1 h2o[c]
HSD17B8r1	1 estradiol[c] + 1 nad[c] -> 1 estrone[c] + 1 nadh[c] + 1 h[c]
HSD17B11	1 estradiol[c] + 1 nadp[c] -> 1 estrone[c] + 1 nadph[c] + 1 h[c]
RE1630R1	1 C05298[c] + 1 amet[c] <-> 1 C05299[c] + 1 ahcys[c]
RE2386C1	1 C05301[c] + 1 amet[c] <-> 1 C05302[c] + 1 ahcys[c]
MERGTROLR1	1 mergtrol[c] + 1 nadph[c] + 1 h[c] <-> 1 mfecostrl[c] + 1 nadp[c]
R07484[c]	1 mfecostrl[c] <-> 1 C11522[c]
R07486[c]	1 C15782[c] + 2 focytb5[c] + 1 o2[c] + 2 h[c] <-> 1 C15783[c] + 2 ficytb5[c] + 2 h2o[c]
R07491[c]	1 epist[c] + 2 focytb5[c] + 1 o2[c] + 2 h[c] <-> 1 C15780[c] + 2 ficytb5[c] + 2 h2o[c]
R07505[c]	1 epist[c] + 2 focytb5[c] + 1 o2[c] + 2 h[c] <-> 1 C15778[c] + 2 ficytb5[c] + 2 h2o[c]
R08945[c]	1 C18075[c] + 1 nad[c] -> 1 C05284[c] + 1 nadh[c] + 1 h[c]
R08980[c]	1 C18075[c] + 1 nadp[c] -> 1 C05284[c] + 1 nadph[c] + 1 h[c]
#Steroid biosynthesis
R03353[c]	1 C01189[c] <-> 1 zymstnl[c]
R04804[c]	1 zymst[c] <-> 1 C05439[c]
R05703[c]	1 C05439[c] + 1 nadph[c] + 1 h[c] -> 1 C01189[c] + 1 nadp[c]
R07215[c]	1 C01189[c] + 2 focytb5[c] + 1 o2[c] + 2 h[c] <-> 1 C01164[c] + 2 ficytb5[c] + 2 h2o[c]
CYARTMT1	1 cyart[c] + 1 amet[c] <-> 1 menecyart[c] + 1 ahcys[c]
#Phenylpropanoid biosynthesis
CAFFCOA1	1 atp[c] + 1 34dhcinm[c] + 1 coa[c] <-> 1 amp[c] + 1 ppi[c] + 1 caffcoa[c]
FERULCOAS1	1 atp[c] + 1 fer[c] + 1 coa[c] <-> 1 amp[c] + 1 ppi[c] + 1 ferulcoa[c]
R02221[c]	1 atp[c] + 1 C00482[c] + 1 coa[c] <-> 1 amp[c] + 1 ppi[c] + 1 C00411[c]
R02255[c]	1 atp[c] + 1 cinnm[c] + 1 coa[c] <-> 1 amp[c] + 1 ppi[c] + 1 C00540[c]
R02593[c]	1 confrl[c] + 1 nadp[c] <-> 1 conialdh[c] + 1 nadph[c] + 1 h[c]
R02596[c]	1 confrl[c] <-> 1 C15805[c]
R03918[c]	1 C02325[c] + 1 nadp[c] <-> 1 C05610[c] + 1 nadph[c] + 1 h[c]
R03919[c]	1 C02325[c] <-> 1 C15806[c]
R04007[c]	1 C02646[c] <-> 1 C15804[c]
BDG2HCGHD1	1 bdg2hc[c] + 1 h2o[c] <-> 1 2coum[c] + 1 glc__D[c]
R06570[c]	1 C12204[c] + 1 nadph[c] + 1 h[c] <-> 1 C12205[c] + 1 nadp[c]
R06571[c]	1 C10945[c] + 1 nadph[c] + 1 h[c] <-> 1 C12206[c] + 1 nadp[c]
R06583[c]	1 C05619[c] + 1 coa[c] + 1 atp[c] <-> 1 C12203[c] + 1 amp[c] + 1 ppi[c]
R07437[c]	1 C05608[c] + 1 nadph[c] + 1 h[c] <-> 1 C02646[c] + 1 nadp[c]
R07443[c]	1 C12205[c] <-> 1 C15807[c]
#Retinol Metabolism
RDH11	1 retinol[c] + 1 nad[c] <-> 1 retinal[c] + 1 nadh[c] + 1 h[c]
#Aromatic degredation
R02231[c]	1 C00414[c] + 1 o2[c] + 1 nadph[c] + 1 h[c] <-> 1 C01880[c] + 1 nadp[c] + 1 h2o[c]
MUCCY_kt1	1 4cml[c] <-> 1 CCbuttc[c]
4CMLCL_kt1	1 4cml[c] -> 1 5odhf2a[c] + 1 co2[c]
#Benzoate Degradation
R03308[c]	1 C04553[c] <-> 1 CCbuttc[c]
#Tropane Biosynthesis
AADSACYCL1	1 thp2c[c] + 1 h2o[c] -> 1 L2aadp6sa[c]
NMPTRCOX1	1 nmptrc[c] + 1 o2[c] + 1 h[c] -> 1 1mpyr[c] + 1 h2o2[c] + 1 nh4[c]
R06740[c]	1 15dap[c] + 1 h2o[c] + 1 o2[c] <-> 1 C12455[c] + 1 nh4[c] + 1 h2o2[c]
#Flavonoid Biosynthesis
R02444[c]	1 C00509[c] + 1 akg[c] + 1 o2[c] <-> 1 C00974[c] + 1 succ[c] + 1 co2[c]
R03123[c]	1 C03648[c] + 1 nadp[c] <-> 1 C00974[c] + 1 nadph[c] + 1 h[c]
R03636[c]	1 C05906[c] + 1 nadp[c] <-> 1 C01617[c] + 1 nadph[c] + 1 h[c]
R03640[c]	1 C05631[c] + 1 akg[c] + 1 o2[c] <-> 1 C01617[c] + 1 succ[c] + 1 co2[c]
R05038[c]	1 C05909[c] + 1 nadp[c] <-> 1 C02906[c] + 1 nadph[c] + 1 h[c]
R05039[c]	1 C05911[c] + 1 akg[c] + 1 o2[c] <-> 1 C02906[c] + 1 succ[c] + 1 co2[c]
#Isoflavonoid biosynthesis
R06562[c]	1 C02920[c] + 1 nadph[c] + 1 h[c] <-> 1 C00786[c] + 1 nadp[c]
R07747[c]	1 C16226[c] + 1 nadph[c] + 1 h[c] <-> 1 C16227[c] + 1 nadp[c]
R07751[c]	1 C16226[c] + 1 nadph[c] + 1 h[c] <-> 1 C16228[c] + 1 nadp[c]
#Isoflavone Biosynthesis
R06563[c]	1 C12135[c] + 1 nadph[c] + 1 h[c] <-> 1 C10419[c] + 1 nadp[c]
#d-arginine and d-ornithine metabolism
DORNOp1	1 orn__D[c] + 1 h2o[c] + 1 o2[c] <-> 1 5a2opntn[c] + 1 nh4[c] + 1 h2o2[c]
DARGOp1	1 arg__D[c] + 1 h2o[c] + 1 o2[c] <-> 1 5g2oxpt[c] + 1 nh4[c] + 1 h2o2[c]
#cyanoamino acid metabolism
R02558[c]	1 C00844[c] + 1 h2o[c] <-> 1 C00561[c] + 1 glc__D[c]
R02985[c]	1 C00844[c] + 1 glc__D[c] <-> 1 C08325[c] + 1 h2o[c]
R10035[c]	1 C05143[c] + 1 h2o[c] <-> 1 C03742[c] + 1 C00221[c]
R10039[c]	1 C08334[c] + 1 h2o[c] <-> 1 C18796[c] + 1 C00221[c]
R10040[c]	1 C01594[c] + 1 h2o[c] <-> 1 C02659[c] + 1 C00221[c]
#phosphonate and phosphinate metabolism
R02590[c]	1 ctp[c] + 1 C06459[c] <-> 1 ppi[c] + 1 C05674[c]
#Aminoacyl-tRNA biosynthesis
METTRS1	1 atp[c] + 1 met__L[c] + 1 trnamet[c] -> 1 amp[c] + 1 ppi[c] + 1 mettrna[c]
TYRTRSm1	1 atp[c] + 1 tyr__L[c] + 1 trnatyr[c] -> 1 amp[c] + 1 ppi[c] + 1 tyrtrna[c]
R03038[c]	1 atp[c] + 1 ala__L[c] + 1 trnaala[c] <-> 1 amp[c] + 1 ppi[c] + 1 C00886[c]
ARGTRS1	1 atp[c] + 1 arg__L[c] + 1 trnaarg[c] <-> 1 amp[c] + 1 ppi[c] + 1 argtrna[c]
GLYTLm1	1 atp[c] + 1 gly[c] + 1 trnagly[c] <-> 1 amp[c] + 1 ppi[c] + 1 glytrna[c]
HISTRS1	1 atp[c] + 1 his__L[c] + 1 trnahis[c] <-> 1 amp[c] + 1 ppi[c] + 1 histrna[c]
ILETRSm1	1 atp[c] + 1 ile__L[c] + 1 trnaile[c] <-> 1 amp[c] + 1 ppi[c] + 1 iletrna[c]
LYSTRS1	1 atp[c] + 1 lys__L[c] + 1 trnalys[c] <-> 1 amp[c] + 1 ppi[c] + 1 lystrna[c]
PROTRS1	1 atp[c] + 1 pro__L[c] + 1 trnapro[c] <-> 1 amp[c] + 1 ppi[c] + 1 protrna[c]
THRTRS1	1 atp[c] + 1 thr__L[c] + 1 trnathr[c] <-> 1 amp[c] + 1 ppi[c] + 1 thrtrna[c]
TRPTRS1	1 atp[c] + 1 trp__L[c] + 1 trnatrp[c] <-> 1 amp[c] + 1 ppi[c] + 1 trptrna[c]
VALTRS1	1 atp[c] + 1 val__L[c] + 1 trnaval[c] <-> 1 amp[c] + 1 ppi[c] + 1 valtrna[c]
#Butanoate Metabolism
R02946[c]	1 C03044[c] + 1 nad[c] <-> 1 actn__R[c] + 1 nadh[c] + 1 h[c]
R02948[c]	1 alac__S[c] -> 1 actn__R[c] + 1 co2[c]
#Aminobenzoate degredation
R03024[c]	1 HC01104[c] + 1 h2o[c] -> 1 C00870[c] + 1 pi[c]
#Biosynthesis of antibiotics
ICHORT1	1 ichor[c] + 1 h2o[c] <-> 1 23ddhb[c] + 1 pyr[c]
TDPDRR1	1 dtdprmn[c] + 1 nadp[c] <-> 1 dtdp4d6dm[c] + 1 nadph[c] + 1 h[c]
LNSTLS1	1 Ssq23epx[c] <-> 1 lanost[c]
SAM24MT1	1 amet[c] + 1 zymst[c] <-> 1 ahcys[c] + 1 fecost[c]
R05639[c]	1 C05108[c] + 1 nadp[c] <-> 1 C11455[c] + 1 nadph[c] + 1 h[c]
R06590[c]	1 C12214[c] + 1 C00117[c] <-> 1 C12215[c] + 1 s7p[c]
MI3PS1	1 g6p[c] <-> 1 mi3p__D[c]
AKGDm1	1 akg[c] + 1 coa[c] + 1 nad[c] <-> 1 succoa[c] + 1 co2[c] + 1 nadh[c] + 1 h[c]
#Penicillin Biosynthesis
R03743[c]	1 C01866[c] + 1 h2o[c] <-> 1 C03806[c]
R06361[c]	1 C05557[c] + 1 accoa[c] + 1 h2o[c] <-> 1 pencil[c] + 1 coa[c] + 1 L2aadp[c]
R06363[c]	1 pencil[c] + 1 h2o[c] <-> 1 pencilca[c]
R07400[c]	1 C00916[c] + 1 h2o[c] + 1 o2[c] <-> 1 C04712[c] + 1 nh4[c] + 1 h2o2[c]
#Beta Alanine Metabolism
R03139[c]	1 C00986[c] + 1 o2[c] + 1 h2o[c] <-> 1 aproa[c] + 1 nh4[c] + 1 h2o2[c]
APAT2rm1	1 ala_B[c] + 1 akg[c] <-> 1 msa[c] + 1 glu__L[c]
#Porphyrin Metabolism
UPPDC11	1 uppg3[c] <-> 1 cpppg3[c] + 4 co2[c]
#Inositol Phosphate Metabolism
R03361[c]	1 atp[c] + 1 pail_cho[c] <-> 1 adp[c] + 1 pail4p_cho[c]
R03430[c]	1 C01272[c] + 1 h2o[c] <-> 1 C01243[c] + 1 pi[c]
RE2974G1	1 atp[c] + 1 pail3p_cho[c] <-> 1 adp[c] + 1 pail35p_cho[c]
R09827[c]	1 pail345p_cho[c] + 1 h2o[c] <-> 1 pail34p_cho[c] + 1 pi[c]
#Ether Lipid Metabolism
R04162[c]	1 C05977[c] + 1 h2o[c] <-> 1 ak2g_hs[c] + 1 pi[c]
#Vitamin B6 metabolism
OHPBAT1	1 phthr[c] + 1 akg[c] <-> 1 ohpb[c] + 1 glu__L[c]
#Linonene Degradation
R06411[c]	1 C11946[c] + 1 h2o[c] <-> 1 C11947[c]
R06412[c]	1 C11945[c] + 1 h2o[c] <-> 1 C11947[c]
#Xenobiotic Metabolism
R07013[c]	1 C14786[c] + 1 h2o[c] <-> 1 dhnpthld[c]
R07014[c]	1 C14787[c] + 1 h2o[c] <-> 1 dhnpthld[c]
R07027[c]	1 C14800[c] + 1 h2o[c] <-> 1 C14801[c]
R07071[c]	1 C14839[c] + 1 h2o[c] <-> 1 C14844[c]
R07072[c]	1 C14840[c] + 1 h2o[c] <-> 1 C14842[c]
R07082[c]	1 C14850[c] + 1 h2o[c] <-> 1 C14852[c]
R07105[c]	1 C06899[c] + 1 nadh[c] + 1 h[c] <-> 1 C07490[c] + 1 nad[c] + 1 h2o[c]
R09410[c]	1 C19586[c] + 1 h2o[c] <-> 1 C19588[c]
R09417[c]	1 C19489[c] + 1 h2o[c] <-> 1 C19490[c]
R09420[c]	1 C16453[c] + 1 nadph[c] + 1 h[c] <-> 1 C19574[c] + 1 nadp[c]
R09443[c]	1 C19604[c] + 1 h2o[c] <-> 1 C19607[c]
#Lipoic Acid Metabolism
R07767[c]	1 C16236[c] + 2 C17023[c] + 2 amet[c] -> 1 C16237[c] + 2 met__L[c] + 2 dad_5[c]
R07768[c]	1 C05752[c] + 2 C17023[c] + 2 amet[c] -> 1 C16239[c] + 2 met__L[c] + 2 dad_5[c]
R07769[c]	1 C16239[c] + 1 C16240[c] -> 1 C16237[c] + 1 ACP[c]
LIPATPT1	1 atp[c] + 1 C16241[c] -> 1 ppi[c] + 1 CE5656[c]
R07771[c]	1 CE5656[c] + 1 C16240[c] -> 1 C16237[c] + 1 amp[c]
R11143[c]	1 atp[c] + 1 C16241[c] + 1 C16240[c] -> 1 C16237[c] + 1 amp[c] + 1 ppi[c]
#Linolenic Acid Metabolism
R07889[c]	1 C16329[c] <-> 1 C16328[c] + 1 h2o[c]
R07893[c]	1 C16333[c] <-> 1 C16332[c] + 1 h2o[c]
R10783[c]	1 C16310[c] + 1 nadh[c] + 1 h[c] <-> 1 C08492[c] + 1 nad[c]
#Glutathione Metabolism
GTHPe1	2 gthrd[im] + 1 h2o2[im] <-> 1 gthox[im] + 2 h2o[im]
#Glutathione Metabolism
R08363[c]	1 C04232[c] + 1 C16664[c] + 1 h2o[c] <-> 1 C03723[c] + 1 C16663[c]
R08364[c]	1 C04232[c] + 1 C03170[c] + 1 h2o[c] <-> 1 C03723[c] + 1 C02090[c]
#Cutin Wax Biosynthesis
R09474[c]	1 C02843[c] <-> 1 C01629[c]
#2 Oxocarboxylic Acid
R10052[c]	1 3c2hmp[c] + 1 nad[c] -> 1 4mop[c] + 1 co2[c] + 1 nadh[c] + 1 h[c]
#Biotin Metabolism
R10116[c]	1 C20372[c] + 1 nadph[c] + 1 h[c] <-> 1 hgmeACP[c] + 1 nadp[c]
R10120[c]	1 C20376[c] + 1 nadph[c] + 1 h[c] <-> 1 hpmeACP[c] + 1 nadp[c]
#C5-branched dibasic acid metabolism
ITCOALm1	1 atp[c] + 1 itacon[c] + 1 coa[c] -> 1 adp[c] + 1 pi[c] + 1 itaccoa[c]
#Geraniol degradation
R08091[c]	1 C16466[c] + 1 coa[c] <-> 1 C16470[c] + 1 accoa[c]
#Miscellaneous cytosolic reactions
PYRDC1	1 h[c] + 1 pyr[c] -> 1 acald[c] + 1 co2[c]
R10948[c]	1 atp[c] + 1 hco3[c] -> 1 adp[c] + 1 C20969[c]
R10949[c]	1 nh4[c] + 1 C20969[c] -> 1 cbm[c] + 1 pi[c]
R10056[c]	1 C05545[c] + 2 akg[c] + 2 o2[c] -> 1 pcollglys[c] + 2 succ[c] + 2 fald[c] + 2 co2[c]
R04358[c]	1 atp[c] + 1 C03959[c] -> 1 adp[c] + 1 C04395[c]
R09644[c]	1 C19776[c] + 1 h2o[c] <-> 1 pa_EC[c] + 1 pi[c]
PPA21	1 pppi[c] + 1 h2o[c] <-> 1 ppi[c] + 1 pi[c]
PPAm1	1 ppi[c] + 1 h2o[c] -> 2 pi[c]
CCP1	1 h2o2[c] + 2 focytcc553[c] <-> 2 ficytC[c] + 2 h2o[c]
R00129[c]	1 atp[c] + 1 C04856[c] -> 1 adp[c] + 1 pi[c] + 1 nadh[c]
BPNT1	1 pap[c] + 1 h2o[c] -> 1 amp[c] + 1 pi[c]
R00275[c]	2 o2s[c] + 2 h[c] <-> 1 h2o2[c] + 1 o2[c]
PYK41	1 cdp[c] + 1 pep[c] -> 1 ctp[c] + 1 pyr[c]
PYK21	1 udp[c] + 1 pep[c] -> 1 utp[c] + 1 pyr[c]
R00767[c]	1 ctp[c] + 1 C00085[c] -> 1 cdp[c] + 1 fdp[c]
R00769[c]	1 utp[c] + 1 C00085[c] -> 1 udp[c] + 1 fdp[c]
G6PDH2r1	1 g6p[c] + 1 nadp[c] -> 1 6pgl[c] + 1 nadph[c] + 1 h[c]
TRE6PS1	1 udpg[c] + 1 g6p[c] -> 1 udp[c] + 1 tre6p[c]
R01289[c]	1 ser__L[c] + 1 hcys__L[c] -> 1 C00542[c] + 1 h2o[c]
R01493[c]	1 crm_cho[c] + 1 h2o[c] <-> 1 h[c] + 1 Rtotal[c] + 1 C00319[c]
R01532[c]	1 C00201[c] + 1 h2o[c] -> 1 C00215[c] + 1 ppi[c]
R01654[c]	1 atp[c] + 1 10fthf[c] + 1 glu__L[c] <-> 1 adp[c] + 1 pi[c] + 1 C05928[c]
PFK_31	1 atp[c] + 1 s7p[c] <-> 1 adp[c] + 1 s17bp[c]
R01853[c]	1 C00375[c] + 1 h2o[c] + 1 o2[c] <-> 1 C00071[c] + 1 nh4[c] + 1 h2o2[c]
R01963[c]	1 C01075[c] + 1 h2o[c] <-> 1 gam[c] + 1 so4[c]
HIBDm1	1 3hmp[c] + 1 nad[c] <-> 1 2mop[c] + 1 nadh[c] + 1 h[c]
R02113[c]	1 udpg[c] + 1 C00370[c] <-> 1 udp[c] + 1 C03641[c]
CSNATm1	1 accoa[c] + 1 C00487[c] <-> 1 coa[c] + 1 acrn[c]
R02418[c]	1 C04090[c] + 1 h2o[c] <-> 1 C00496[c] + 1 C00145[c]
R02508[c]	1 C00542[c] + 1 succ[c] <-> 1 suchms[c] + 1 cys__L[c]
R02584[c]	1 atp[c] + 1 C00585[c] -> 1 adp[c] + 1 C01167[c]
R02585[c]	1 C01167[c] + 1 h2o[c] -> 1 C00585[c] + 1 pi[c]
R02715[c]	1 Dara14lac[c] + 1 o2[c] <-> 1 C06316[c] + 1 h2o2[c]
R02767[c]	1 3haACP[c] + 1 nadp[c] <-> 1 C00685[c] + 1 nadph[c] + 1 h[c]
PSP_D1	1 pser__D[c] + 1 h2o[c] <-> 1 ser__D[c] + 1 pi[c]
R02878[c]	1 C00756[c] + 1 nad[c] <-> 1 octal[c] + 1 nadh[c] + 1 h[c]
R02884[c]	1 atp[c] + 1 C00759[c] <-> 1 adp[c] + 1 C01022[c]
R02984[c]	1 dtdpglu[c] <-> 1 C02097[c]
R03054[c]	1 C00903[c] + 1 nadph[c] + 1 h[c] <-> 1 C02394[c] + 1 nadp[c]
R03120[c]	1 C01021[c] + 1 akg[c] <-> 1 C00972[c] + 1 glu__L[c]
R03259[c]	1 C04212[c] + 1 h2o[c] <-> 1 C01117[c]
R03352[c]	1 C04047[c] + 1 h2o[c] <-> 1 3hmp[c] + 1 coa[c]
R03357[c]	1 C04036[c] + 1 nadp[c] <-> 1 C01192[c] + 1 nadph[c] + 1 h[c]
R03410[c]	1 amet[c] + 1 C01229[c] <-> 1 ahcys[c] + 1 C04215[c]
R03446[c]	1 C01253[c] + 1 h2o[c] <-> 1 C03315[c] + 1 adprib[c]
R03449[c]	1 atp[c] + 1 C01256[c] <-> 1 adp[c] + 1 C01293[c]
R03492[c]	1 ga2_cho[c] + 1 h2o[c] <-> 1 C01290[c] + 1 acgal[c]
R03532[c]	1 nad[c] + 1 h2o2[c] <-> 1 nadh[c] + 2 h2o[c]
R03546[c]	1 cynt[c] + 1 h[c] + 1 hco3[c] -> 1 co2[c] + 1 cbm[c]
R03552[c]	1 accoa[c] + 1 C02415[c] <-> 1 coa[c] + 1 C01997[c]
SELTORc1	1 slnt[c] + 6 fdxrd[c] + 8 h[c] -> 1 seln[c] + 6 fdxox[c] + 3 h2o[c]
R03632[c]	1 atp[c] + 1 C01609[c] <-> 1 adp[c] + 1 C02729[c]
R03681[c]	1 udpg[c] + 1 C01702[c] <-> 1 udp[c] + 1 C02687[c]
R03760[c]	1 accoa[c] + 1 C15534[c] <-> 1 coa[c] + 1 C15535[c]
R03789[c]	1 C01977[c] + 1 C01449[c] <-> 1 C01978[c] + 1 gua[c]
R03828[c]	1 gtp[c] + 1 C02100[c] <-> 1 ppi[c] + 1 C02031[c]
R03840[c]	1 atp[c] + 1 C02374[c] <-> 1 adp[c] + 1 C02128[c]
R03854[c]	1 C02623[c] + 1 pyr[c] <-> 1 C02146[c] + 1 co2[c] + 1 ala__L[c]
R03938[c]	1 amet[c] + 1 C02415[c] <-> 1 ahcys[c] + 1 C03702[c]
GLPT1	1 tdcoa[c] + 1 glp[c] <-> 1 coa[c] + 1 tglp[c]
R04023[c]	1 atp[c] + 1 C02707[c] <-> 1 adp[c] + 1 C03874[c]
DGC3D1	1 2dglcn[c] + 1 nad[c] <-> 1 3ddgc[c] + 1 nadh[c] + 1 h[c]
R04058[c]	1 C02986[c] <-> 1 C02805[c] + 1 nh4[c]
R04072[c]	1 dolmanp[c] + 1 C02189[c] <-> 1 C00110[c] + 1 C02863[c]
R04090[c]	1 C03899[c] + 1 h2o[c] <-> 1 gthrd[c] + 1 C02929[c]
R04100[c]	1 C02944[c] <-> 1 dd2coa[c]
R04176[c]	1 nad[c] <-> 1 ncam[c] + 1 C03245[c] + 1 h[c]
R04184[c]	1 thcrm_cho[c] + 1 acgal[c] <-> 1 gbside_cho[c] + 1 h2o[c]
